title,description
Erdogan says Netanyahu makes Hitler envious with ‘genocidal methods’,egypt to join south africas icj genocide case against israel
Heroic welcome for hockey team in Lahore after winning silver medal in Azlan Shan Cup,pms youth programme chairman mashhood says government will support the team and reward their efforts accordingly
IMF mission to meet Pakistani authorities next week to discuss ‘next phase of engagement’: official,the aim is to lay the foundation for better governance and more inclusive and resilient economic growth says esther perez ruiz
Situation in AJK calms down after 2 days of violent clashes,rangers deployment withdrawn jaac leader open to negotiations with govt
"No such thing as strategic state-owned enterprises, says Finance Minister Aurangzeb",says longer larger imf programme needed to bring permanence in macroeconomic stability and structural reforms
"Fight till the last ball, PCB chief tells cricket team in Dublin",says t20 cricket needs unique and aggressive approach
Canada arrests fourth Indian national in killing of Sikh activist,the indian national was already being held for unrelated gun charges
Second night of auroras seen amid ‘extreme’ solar storm,no major disruptions to power or communications networks appear to have been reported this time around
ADB links support with IMF’s clean chit,banks top official says pakistan has sorted out immediate liquidity crisis but still in icu
Govt hints at raising wheat purchase target,drive to buy 400000 tonnes of grain kicks off farmers want wheat procured from across punjab kissan leader urges govt to ensure official rate of staple
To draw or not to draw,lets find out what din din delma and dazel are up to this week
Pakistan’s iCube-Qamar beams back first images from moon’s orbit,the countrys inaugural lunar satellite is part of chinas change6 mission
Ruling coalition loses 27 reserved seats in Punjab,speaker suspends pmlns 23 ppps two and one member each of pmlq ipp
PIA staff forgets to put boy’s body on plane,shocked parents relatives protest against airline managements negligence at skardu airport
Downside risks for Pakistan remain exceptionally high: IMF,political uncertainty remains significant fund says despite govt indicating intention to continue standby arrangement policies
Pakistan remain unbeaten in Azlan Shah Cup as match with New Zealand ends in tie,will face leading japan in the final at 530pm tomorrow information minister attaullah tarar says teams achievements will be highlighted across all media
Who can rock the hybrid boat?,if the chief was able to weather that storm then he appears far more secure now
A turbulent 2023,govt must ensure judiciarys independence respect for democratic processes and protection for all citizens against abuse of power
A moral victory,as the un general assembly overwhelmingly voted on friday in favour of granting palestine greater rights at the
Hope after defeat,on saturday having fallen behind japan in the first quarter of the sultan azlan shah cup final pakistan showed
The lethal troika,the situation necessitates a fundamental shift in the terrorist threat assessment in pakistan
The net metering dead end,the big problem in pakistans power bureaucracy now is that the state insists on setting the price of electricity manually using outmoded formulae
An inclusive judiciary,while the detailed deliberations of the jcp need not be made public the reasons for selecting certain candidates for nomination must be disclosed
Child marriages,almost 19m girls in pakistan are married before they turn 18
Education emergency,the current situation is the result of the choices that we have made and are still making
Street safety,traditional policing methods may result in faulty investigations
We asked moms what they want for Mother’s Day — no it isn’t kurtas and candles,a pinch of love a dash of appreciation and a cup full of peace is the recipe for the perfect mothers day present
Going loco for local: Jugnu’s Chief Saab candle is the ultimate Karachi kid nostalgia,it may not smell like chief saab or so i think but it smells nice and thats what matters
2024 Elections: What’s at stake for India’s minorities?,could a third term under narendra modi see the formalising of secondclass status for minorities and the destruction of the countrys ancient composite culture
From screens to streets: How Gen Z is disrupting the status quo and redefining activism,its safe to say that the kids are doing just fine it is the adults running the world that are the problem
Pakistan’s iCube-Qamar beams back first images from moon’s orbit,the countrys inaugural lunar satellite is part of chinas change6 mission
"People with two copies of a risk gene have genetic form of Alzheimer’s, say scientists",study set to redefine such carriers as having a new genetic form of the mindwasting disease
ESSAY: WE’RE READY FOR YOUR CLOSE-UP NOW,diary entries from a former actor reflect on how the desire to conform to the norms of the entertainment industry allowed her to
FOOTBALL: GIRLS KICKING MOUNTAINS,zahra afzal runs the womens football academy in hazara town quetta what made her get into such an apparently thankless job
"SOUNDSCAPE: AND NOW, AI MUSIC",ai can now generate entire songs on demand what does this mean for music as we know it
THE GRAPEVINE,indian playback singer arijit singh recently did a concert in dubai the venue was bursting at the seams
Russia blames Ukraine after blast destroys apartments,at least 19 people have been hurt in belgorod and there are reports of people trapped in the rubble
